date,Unnamed: 0,site,code,co,nox,no2,no,o3,so2,pm10,pm2.5,v10,v2.5,nv10,nv2.5,ws,wd,air_temp,latitude,longitude,site_type
2023-06-22 00:00:00,922825,Birmingham A4540 Roadside,BIRR,,53.3492,47.69207,3.68949,4.98925,,12.075,7.594,,,,,1.4,279.7,12.5,52.476145,-1.874978,Urban Traffic
2023-06-22 01:00:00,922826,Birmingham A4540 Roadside,BIRR,,46.01455,37.70345,5.42036,15.89908,,10.775,6.792,,,,,1.5,293.1,12.0,52.476145,-1.874978,Urban Traffic
2023-06-22 02:00:00,922827,Birmingham A4540 Roadside,BIRR,,29.94405,18.99646,7.13984,39.31529,,10.75,5.283,,,,,1.0,310.3,11.2,52.476145,-1.874978,Urban Traffic
2023-06-22 03:00:00,922828,Birmingham A4540 Roadside,BIRR,,38.29933,24.88983,8.74545,28.43873,,12.0,5.684,,,,,1.6,326.0,11.7,52.476145,-1.874978,Urban Traffic
2023-06-22 04:00:00,922829,Birmingham A4540 Roadside,BIRR,,51.42904,29.3767,14.38216,19.70754,,16.675,7.618,,,,,1.5,332.1,11.4,52.476145,-1.874978,Urban Traffic
2023-06-22 05:00:00,922830,Birmingham A4540 Roadside,BIRR,,63.52083,31.25423,21.04373,15.21721,,18.975,9.269,,,,,1.9,357.3,12.0,52.476145,-1.874978,Urban Traffic
2023-06-22 06:00:00,922831,Birmingham A4540 Roadside,BIRR,,58.53881,29.04839,19.23315,21.15442,,18.725,9.127,,,,,1.5,356.7,12.1,52.476145,-1.874978,Urban Traffic
2023-06-22 07:00:00,922832,Birmingham A4540 Roadside,BIRR,,40.47896,23.29804,11.2051,35.87271,,19.5,8.42,,,,,1.1,351.9,14.2,52.476145,-1.874978,Urban Traffic
2023-06-22 08:00:00,922833,Birmingham A4540 Roadside,BIRR,,36.06779,21.61068,9.42869,54.18326,,15.675,7.288,,,,,1.5,43.2,18.8,52.476145,-1.874978,Urban Traffic
2023-06-22 09:00:00,922834,Birmingham A4540 Roadside,BIRR,,29.42509,19.99654,6.14914,61.96649,,15.2,7.665,,,,,1.4,74.5,21.0,52.476145,-1.874978,Urban Traffic
2023-06-22 10:00:00,922835,Birmingham A4540 Roadside,BIRR,,26.10374,16.099,6.52492,73.89079,,13.85,6.722,,,,,1.6,67.5,22.2,52.476145,-1.874978,Urban Traffic
2023-06-22 11:00:00,922836,Birmingham A4540 Roadside,BIRR,,59.88811,36.78815,15.0654,59.27229,,16.825,7.193,,,,,1.9,60.1,22.9,52.476145,-1.874978,Urban Traffic
2023-06-22 12:00:00,922837,Birmingham A4540 Roadside,BIRR,,57.18951,36.81336,13.28898,58.27444,,11.175,6.745,,,,,1.6,57.8,23.2,52.476145,-1.874978,Urban Traffic
2023-06-22 13:00:00,922838,Birmingham A4540 Roadside,BIRR,,45.77237,28.38192,11.34175,72.29423,,10.825,5.613,,,,,1.4,35.9,23.8,52.476145,-1.874978,Urban Traffic
2023-06-22 14:00:00,922839,Birmingham A4540 Roadside,BIRR,,49.66458,33.05984,10.82932,74.73897,,12.125,6.321,,,,,1.2,346.7,22.0,52.476145,-1.874978,Urban Traffic
2023-06-22 15:00:00,922840,Birmingham A4540 Roadside,BIRR,,35.65263,24.60027,7.20816,86.16435,,12.7,7.453,,,,,1.1,209.4,20.5,52.476145,-1.874978,Urban Traffic
2023-06-22 16:00:00,922841,Birmingham A4540 Roadside,BIRR,,26.88218,19.28696,4.95348,85.26628,,10.475,6.156,,,,,2.3,183.2,19.8,52.476145,-1.874978,Urban Traffic
2023-06-22 17:00:00,922842,Birmingham A4540 Roadside,BIRR,,16.45107,12.99393,2.25469,90.05596,,9.45,5.236,,,,,1.5,200.1,21.0,52.476145,-1.874978,Urban Traffic
2023-06-22 18:00:00,922843,Birmingham A4540 Roadside,BIRR,,20.08379,14.21714,3.82613,87.01252,,7.825,4.646,,,,,0.1,32.0,21.1,52.476145,-1.874978,Urban Traffic
2023-06-22 19:00:00,922844,Birmingham A4540 Roadside,BIRR,,36.43107,28.99299,4.85099,71.74542,,9.45,5.307,,,,,1.2,88.6,19.1,52.476145,-1.874978,Urban Traffic
2023-06-22 20:00:00,922845,Birmingham A4540 Roadside,BIRR,,34.7185,29.27089,3.55284,69.55015,,9.875,6.014,,,,,0.9,48.0,16.8,52.476145,-1.874978,Urban Traffic
2023-06-22 21:00:00,922846,Birmingham A4540 Roadside,BIRR,,71.77232,51.55331,13.18649,48.04648,,9.575,5.637,,,,,2.0,353.0,15.4,52.476145,-1.874978,Urban Traffic
2023-06-22 22:00:00,922847,Birmingham A4540 Roadside,BIRR,,57.55278,55.92898,1.05902,31.73163,,10.95,7.264,,,,,2.0,337.5,14.3,52.476145,-1.874978,Urban Traffic
2023-06-22 23:00:00,922848,Birmingham A4540 Roadside,BIRR,,107.89201,74.68255,21.65865,11.12603,,14.7,7.476,,,,,2.5,331.0,13.7,52.476145,-1.874978,Urban Traffic
2023-06-23 00:00:00,922849,Birmingham A4540 Roadside,BIRR,,92.47851,69.91601,14.71488,8.18237,,13.4,7.948,,,,,1.9,293.6,12.1,52.476145,-1.874978,Urban Traffic
2023-06-23 01:00:00,922850,Birmingham A4540 Roadside,BIRR,,42.43213,39.56816,1.86783,20.28962,,16.025,10.047,,,,,1.5,295.9,11.6,52.476145,-1.874978,Urban Traffic
2023-06-23 02:00:00,922851,Birmingham A4540 Roadside,BIRR,,33.58922,33.1701,0.27334,16.51442,,18.45,10.778,,,,,2.3,307.3,11.9,52.476145,-1.874978,Urban Traffic
2023-06-23 03:00:00,922852,Birmingham A4540 Roadside,BIRR,,48.90424,39.78843,5.94517,18.21076,,16.95,10.142,,,,,1.9,302.7,11.6,52.476145,-1.874978,Urban Traffic
2023-06-23 04:00:00,922853,Birmingham A4540 Roadside,BIRR,,76.31553,42.05268,22.34565,22.15227,,19.0,9.599,,,,,1.4,302.5,11.2,52.476145,-1.874978,Urban Traffic
2023-06-23 05:00:00,922854,Birmingham A4540 Roadside,BIRR,,101.13106,52.72299,31.57092,19.65765,,22.175,9.269,,,,,1.1,258.4,10.7,52.476145,-1.874978,Urban Traffic
2023-06-23 06:00:00,922855,Birmingham A4540 Roadside,BIRR,,121.68953,57.14544,42.09456,13.17162,,25.425,9.387,,,,,1.3,249.6,11.0,52.476145,-1.874978,Urban Traffic
2023-06-23 07:00:00,922856,Birmingham A4540 Roadside,BIRR,,103.46725,47.20073,36.69607,27.04174,,31.45,8.561,,,,,1.7,247.2,13.3,52.476145,-1.874978,Urban Traffic
2023-06-23 08:00:00,922857,Birmingham A4540 Roadside,BIRR,,75.69255,33.04734,27.81248,40.06368,,20.375,6.415,,,,,2.4,248.6,15.9,52.476145,-1.874978,Urban Traffic
2023-06-23 09:00:00,922858,Birmingham A4540 Roadside,BIRR,,63.80394,25.4023,25.0449,51.58885,,18.025,6.061,,,,,3.1,267.1,17.6,52.476145,-1.874978,Urban Traffic
2023-06-23 10:00:00,922859,Birmingham A4540 Roadside,BIRR,,46.61997,20.26795,17.18634,54.28304,,17.95,6.203,,,,,3.0,242.7,19.1,52.476145,-1.874978,Urban Traffic
2023-06-23 11:00:00,922860,Birmingham A4540 Roadside,BIRR,,50.09829,23.43194,17.39134,56.97724,,15.725,5.542,,,,,3.5,221.7,19.7,52.476145,-1.874978,Urban Traffic
2023-06-23 12:00:00,922861,Birmingham A4540 Roadside,BIRR,,58.09325,28.02157,19.61224,58.42412,,16.3,5.307,,,,,3.6,209.4,20.3,52.476145,-1.874978,Urban Traffic
2023-06-23 13:00:00,922862,Birmingham A4540 Roadside,BIRR,,51.44809,25.09608,17.18634,65.65853,,18.1,7.264,,,,,4.2,218.1,21.0,52.476145,-1.874978,Urban Traffic
